ID Réponse,Date,Phase,Type de territoire,Arrondissement / Ville liée,Statut du commerce,Enjeux: Soutien financier?,Enjeux: Maintien des opérations?,Enjeux: Fiscalité (taxes et impôts)?,Enjeux: Ressources humaines?,Enjeux: Réglementation?,Enjeux: Marketing?,Enjeux: Santé et sécurité?,Enjeux: Recherche d'équipement sanitaire?,Enjeux: Aménagement de l'espace?,Enjeux: Permis pour les terrasses extérieures?,Enjeux: Autre?,Intérêt pour le programme d'aide d'urgence?,Présence sur les médias sociaux?,Présence sur Facebook?,Présence sur Twitter?,Présence sur Instagram?,Présence sur LinkedIn?,Faites-vous de la vente en ligne?,Canal de vente en ligne,Connaissez-vous le service de livraison urbaine?,Êtes-vous intéressé par le service de livraison urbaine?,Intérêt pour le programme d'accompagnement pour le virage numérique des entreprises?,Offrez-vous un service de livraison?,Êtes-vous satisfait de votre service de livraison actuel?,Seriez-vous intéressé par le service de livraison urbain (à vélo) mise en place par la Ville de Montréal et ses partenaires si vous si aviez accès?,Est-ce que l'information que nous vous avons donnée vous a été utile?
1,2020-05-12,1,Arrondissement,Le Plateau-Mont-Royal,Ouvert,,Oui,,Oui,,,,,,,Oui,Non,Non,,,,,Non,Pas de vente en ligne,Sans réponse,Sans réponse,"Non, je n'ai pas d'intérêt à faire un virage numérique",Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Non
2,2020-05-12,1,Arrondissement,Outremont,Partiellement ouvert,Oui,,,,,,,,,,,Non,Non,,,,,Non,Pas de vente en ligne,Non,Oui,"Non, je n'ai pas d'intérêt à faire un virage numérique",Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
3,2020-05-12,1,Arrondissement,Le Plateau-Mont-Royal,Ouvert,,,,Oui,,,Oui,Oui,,,Oui,Oui,Oui,Oui,,Oui,,Oui,Site transactionnel,Oui,Non,"Non, j'ai déjà ce qu'il me faut pour faire un virage numérique",Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
4,2020-05-12,1,Arrondissement,Le Plateau-Mont-Royal,Fermé,Oui,,,,,,,,,,,Oui,Non,,,,,Non,Pas de vente en ligne,Oui,Non,Je ne sais pas,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
5,2020-05-12,1,Arrondissement,Le Plateau-Mont-Royal,Statut inconnu,Oui,Oui,,,,Oui,Oui,Oui,,,,Oui,Oui,Oui,,Oui,,Oui,Site transactionnel,Non,Oui,Oui,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
6,2020-05-12,1,Arrondissement,Le Plateau-Mont-Royal,Ouvert,,,,,,,Oui,Oui,,,,Oui,Non,,,,,Non,Pas de vente en ligne,Oui,Non,"Non, j'ai déjà ce qu'il me faut pour faire un virage numérique",Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
7,2020-05-12,1,Arrondissement,Le Plateau-Mont-Royal,Partiellement ouvert,Oui,,,,,,Oui,Oui,,,,Oui,Oui,Oui,,Oui,,Oui,Site transactionnel,Oui,Oui,Oui,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
8,2020-05-12,1,Arrondissement,Le Plateau-Mont-Royal,Partiellement ouvert,Oui,Oui,,,,,Oui,,,,,Oui,Non,,,,,Non,Pas de vente en ligne,Non,Oui,Oui,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
9,2020-05-12,1,Arrondissement,Outremont,Fermé,,,,,,Oui,,,,,,Oui,Oui,Oui,,Oui,,Oui,Site transactionnel,Oui,Oui,Oui,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
10,2020-05-12,1,Arrondissement,Le Plateau-Mont-Royal,Ouvert,,,,,,,Oui,Oui,,,,Oui,Non,,,,,Non,Pas de vente en ligne,Non,Oui,Oui,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
11,2020-05-12,1,Arrondissement,Côte-des-Neiges-Notre-Dame-de-Grâce,Ouvert,,,,,Oui,,Oui,,,,,Oui,Oui,,,,,Oui,Site transactionnel,Oui,Non,"Non, j'ai déjà ce qu'il me faut pour faire un virage numérique",Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Non
12,2020-05-12,1,Arrondissement,Outremont,Partiellement ouvert,,,,,Oui,,Oui,,,,,Oui,Oui,,,,,Oui,Site transactionnel,Sans réponse,Sans réponse,"Non, j'ai déjà ce qu'il me faut pour faire un virage numérique",Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Non
13,2020-05-13,1,Arrondissement,Le Plateau-Mont-Royal,Fermé,,,,,Oui,,,,,,,Oui,Non,,,,,Non,Pas de vente en ligne,Oui,Non,Oui,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
14,2020-05-13,1,Arrondissement,Ahuntsic-Cartierville,Fermé,Oui,,,,,,,,,,,Oui,Oui,Oui,,,,Non,Pas de vente en ligne,Sans réponse,Sans réponse,Oui,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
15,2020-05-13,1,Arrondissement,Outremont,Partiellement ouvert,,,,,,,,,,,,Oui,Non,,,,,Oui,"Système maison, disponible avant la crise",Non,Oui,Oui,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Sans réponse
16,2020-05-13,1,Arrondissement,Le Plateau-Mont-Royal,Ouvert,,,,,,,,,,,,Oui,Non,,,,,Non,Pas de vente en ligne,Non,Oui,"Non, je n'ai pas d'intérêt à faire un virage numérique",Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
17,2020-05-13,1,Arrondissement,Côte-des-Neiges-Notre-Dame-de-Grâce,Fermé,Oui,,,,Oui,,,,,,,Oui,Oui,,,Oui,,Oui,"Oui, à l'aide d'un système maison, mais seulement depuis la crise",Non,Oui,Oui,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
18,2020-05-13,1,Arrondissement,Côte-des-Neiges-Notre-Dame-de-Grâce,Fermé,Oui,,,,Oui,,,,,,,Oui,Oui,,,Oui,,Oui,"Oui, à l'aide d'un système maison, mais seulement depuis la crise",Non,Oui,Oui,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
19,2020-05-13,1,Arrondissement,Outremont,Ouvert,,,,,,,,,,,,Oui,Non,,,,,Non,Pas de vente en ligne,Non,Oui,Oui,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
20,2020-05-13,1,Arrondissement,Ahuntsic-Cartierville,Fermé,Oui,,,,Oui,,,,,,,Oui,Oui,Oui,,,,Oui,"Système maison, disponible avant la crise",Non,Oui,Oui,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
21,2020-05-13,1,Arrondissement,Rosemont-La Petite-Patrie,Ouvert,,,,,,,,,,,Oui,Non,Oui,Oui,,,,Non,Pas de vente en ligne,Non,Oui,Oui,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
22,2020-05-13,1,Arrondissement,Côte-des-Neiges-Notre-Dame-de-Grâce,Partiellement ouvert,Oui,,,,Oui,,,,,,,Oui,Non,,,,,Non,Pas de vente en ligne,Oui,Non,Oui,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
23,2020-05-13,1,Arrondissement,Rosemont-La Petite-Patrie,Fermé,,,,,,,,,,,Oui,Oui,Non,,,,,Non,Pas de vente en ligne,Oui,Non,Je ne sais pas,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
24,2020-05-13,1,Arrondissement,Rosemont-La Petite-Patrie,Ouvert,,,,,,,,,,,,Oui,Sans réponse,,,,,Réponse inconnue,Réponse inconnue,Oui,Non,Je ne sais pas,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Sans réponse
25,2020-05-13,1,Arrondissement,Outremont,Partiellement ouvert,,,,,,,,Oui,,,Oui,Oui,Non,,,,,Oui,"Système maison, disponible avant la crise",Non,Oui,Oui,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
26,2020-05-13,1,Arrondissement,Le Plateau-Mont-Royal,Ouvert,Oui,Oui,Oui,Oui,Oui,,Oui,Oui,,,Oui,Oui,Oui,Oui,,,,Non,Pas de vente en ligne,Non,Oui,Je ne sais pas,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
27,2020-05-13,1,Arrondissement,Le Plateau-Mont-Royal,Fermé,,,,,,,Oui,,,,,Oui,Oui,Oui,,,Oui,Non,Pas de vente en ligne,Non,Oui,Oui,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
28,2020-05-13,1,Arrondissement,Ahuntsic-Cartierville,Partiellement ouvert,Oui,,,,Oui,,,,,,,Oui,Oui,Oui,,,,Non,Pas de vente en ligne,Sans réponse,Sans réponse,"Non, j'ai déjà ce qu'il me faut pour faire un virage numérique",Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
